Transaction_id,Or_id,Or_pay_method,Or_pay_status,Or_status,Ca_id,Ca_name,Ca_contact_no,Ca_email,Ca_address,Ca_city,Ca_state,Ca_country,R_id,R_contact,R_email,Pr_id,Pr_category_id,Pr_category_name,Pr_name,Pr_price,Offer_code,Offer_price,Discount_code,Discount_price,Or_total_price
#45715,1038,Online,Complete,Delivered,38,Jack,1543024890,ss@gmail.com,"The Street, Assington, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,B,7653908726,ravi@gmail.com,B02,5,Fashion,Women's wear,3500,FLAT50,50,,,3500
#45716,1039,Cash,Complete,Delivered,39,Rony,1542867300,dd@gmail.com,"54 Station Road, SUDBURY, Suffolk",Surat,Gujarat,India,D,7722446688,raj@gmail.com,A02,2,Electronic,SmartWatch,2000,FLAT50,50,FREEDOM37,100,1900
#45717,1040,Online,Complete,Delivered,40,Soniya,1542859650,ff@gmail.com,"Lower Street, Stratford St Mary, COLCHESTER, Essex",Vadodara,Gujarat,India,I,7254637910,love@gmail.com,B01,4,Fashion,Men's wear,3000,,0,,,3000
#45718,1041,Online,Complete,Delivered,41,Monu,1543148820,gg@gmail.com,"26 Court Street, Nayland with Wissington, COLCHESTER, Essex",Surat,Gujarat,India,A,8630947540,shiv@gmail.com,D03,10,Mobile,Nokia,10000,FLAT10,10,,,10000
#45719,1042,Online,Complete,Delivered,42,Nishau,1542931560,hh@gmail.com,"The Angel, Market Place, Lavenham, SUDBURY",Rajkot,Gujarat,India,C,8902536748,jay@gmail.com,C02,7,Appliance,Washing machine,20000,FLAT50,50,,,20000
#45720,1043,Online,Complete,Delivered,43,Nisha,1543179420,jj@gmail.com,"Polstead Street, Stoke by Nayland, COLCHESTER, Essex",Ahmedabad,Gujarat,India,D,7722446688,raj@gmail.com,A01,1,Electronic,Camera,45000,FLAT50,50,WOMAN23,6750,38250
#45721,1044,Online,Complete,Delivered,44,Shiv,1543154940,kk@gmail.com,"61-65 Melford Road, SUDBURY, Suffolk",Rajkot,Gujarat,India,E,7227455460,deep@gmail.com,D02,9,Mobile,Apple,89000,FLAT50,50,,,89000
#45722,1045,Online,Complete,Shipped,45,Roger,1543027950,ll@gmail.com,"Hadleigh Road, Sproughton, IPSWICH, Suffolk",Surat,Gujarat,India,I,7254637910,love@gmail.com,D03,10,Mobile,Nokia,65333,FLAT50,50,WOMAN23,32666.5,32666.5
#45723,1046,Online,Complete,Delivered,46,Martin,1542705120,zz@gmail.com,"The Bell Inn, The Street, Kersey, IPSWICH",Ahmedabad,Gujarat,India,B,7653908726,ravi@gmail.com,D01,8,Mobile,Samsung,80000,FLAT50,50,WOMAN23,4000,76000
#45724,1047,Online,Complete,Delivered,47,Kareena,1543180950,xx@gmail.com,"Bower House Tye, Polstead, COLCHESTER, Essex",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,B01,4,Fashion,Men's wear,5030,,0,,,5030
#45725,1048,Cash,Pending,Delivered,48,Hetavi,1543026420,cc@gmail.com,"East Street, SUDBURY, Suffolk",Surendranagar,Gujarat,India,C,8902536748,jay@gmail.com,B02,5,Fashion,Women's wear,3099,FLAT30,30,WOMAN23,61.98,3037.02
#45726,1049,Online,Complete,Shipped,49,Roy,1543005000,vv@gmail.com,"The Brook Inn, 241 Bures Road, Great Cornard, SUDBURY",Surat,Gujarat,India,D,7722446688,raj@gmail.com,D03,10,Mobile,Nokia,40000,FLAT50,50,,,40000
#45727,1050,Online,Complete,Delivered,50,Ram,1543040190,bb@gmail.com,"The Street, Copdock And Washbrook, IPSWICH, Suffolk",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,A02,2,Electronic,SmartWatch,23000,FLAT50,50,,,23000
#45728,1051,Online,Complete,Delivered,51,Syam,1542995820,nn@gmail.com,"The Bush, The Street, Shimpling, BURY ST EDMUNDS",Ahmedabad,Gujarat,India,A,8630947540,shiv@gmail.com,D02,9,Mobile,Apple,120000,FLAT50,50,,,120000
#45729,1052,Online,Complete,Delivered,52,Sakir,1542940740,mm@gmail.com,"Capel Road, Bentley, IPSWICH, Suffolk",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,C02,7,Appliance,Washing machine,55099,,0,,,55099
#45730,1053,Online,Complete,Delivered,53,Darshan,1542951450,qw@gmail.com,"Lavenham Road, Brent Eleigh, SUDBURY, Suffolk",Surat,Gujarat,India,D,7722446688,raj@gmail.com,A01,1,Electronic,Camera,69000,FLAT50,50,CHILD2344,3450,65550
#45731,1054,Online,Complete,Delivered,54,Nidhi,1542844350,we@gmail.com,"The Cock Inn, Church Street, Lavenham, SUDBURY",Vadodara,Gujarat,India,B,7653908726,ravi@gmail.com,B01,4,Fashion,Men's wear,3999,FLAT50,50,,,3999
#45732,1055,Online,Complete,Shipped,55,Rahul,1542717360,er@gmail.com,"89 George Street, Hadleigh, IPSWICH, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,D01,8,Mobile,Samsung,90900,FLAT30,30,,,90900
#45733,1056,Online,Complete,Delivered,56,Kushi,1542867300,rt@gmail.com,"Egremont Street, Glemsford, SUDBURY, Suffolk",,Gujarat,India,A,8630947540,shiv@gmail.com,A02,2,Electronic,SmartWatch,17000,FLAT50,50,,,17000
#45734,1057,Online,Complete,Delivered,57,Jainika,1543240620,ty@gmail.com,"Polstead Green, Polstead, COLCHESTER, Essex",Vadodara,Gujarat,India,I,7254637910,love@gmail.com,C01,6,Appliance,Air conditioner,70000,FLAT50,50,SPEACIAL099,3500,66500
#45735,1058,Cash,Pending,Delivered,58,Jenil,1542711240,yu@gmail.com,"Unit 3, The Pied Cow, 12 King Street, SUDBURY, Suffolk",Surat,Gujarat,India,C,8902536748,jay@gmail.com,D03,10,Mobile,Nokia,50000,FLAT50,50,,,50000
#45736,1059,Online,Complete,Delivered,59,Fenil,1543027950,ui@gmail.com,"High Street, Acton, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,A03,3,Electronic,Speakers,36656,FLAT50,50,,,36656
#45737,1060,Online,Complete,Delivered,60,Heena ,1542705120,io@gmail.com,"Park Street, Stoke by Nayland, COLCHESTER, Essex",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,D01,8,Mobile,Samsung,70000,FLAT50,50,SOUND2341,3500,66500
#45738,1061,Online,Complete,Delivered,61,Ruchi,1542819870,op@gmail.com,"The Green, Hartest, BURY ST EDMUNDS, Suffolk",Surat,Gujarat,India,J,9264380962,sid@gmail.com,B01,4,Fashion,Men's wear,3652,,0,,,3652
#45739,1062,Online,Complete,Delivered,62,Manima,1542844350,as@gmail.com,"Delphi Diesel Systems Ltd, Newton Road, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,B,7653908726,ravi@gmail.com,C02,7,Appliance,Washing machine,65000,FLAT50,50,,,65000
#45740,1063,Online,Complete,Delivered,63,Yash,1542725010,sd@gmail.com,"The Fleece, 8-10 Broad Street, Boxford, SUDBURY",Surendranagar,Gujarat,India,D,7722446688,raj@gmail.com,D03,10,Mobile,Nokia,40000,FLAT50,50,,,40000
#45741,1064,Online,Complete,Shipped,64,Yashvi,1542576600,df@gmail.com,"52 High Street, Hadleigh, IPSWICH, Suffolk",Surat,Gujarat,India,I,7254637910,love@gmail.com,A01,1,Electronic,Camera,36251,FLAT10,10,,,36251
#45742,1065,Online,Complete,Delivered,65,Vidhhi,1543199310,fg@gmail.com,"The George and Dragon Public House, Hall Street, Long Melford, SUDBURY",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,B02,5,Fashion,Women's wear,3566,FLAT50,50,FREEDOM37,178.3,3387.7
#45743,1066,Online,Complete,Cancel,66,tirth,1543136580,gh@gmail.com,"George Street, Hintlesham, IPSWICH, Suffolk",Surat,Gujarat,India,I,7254637910,love@gmail.com,B02,5,Fashion,Women's wear,3652,FLAT50,50,,,3652
#45744,1067,Online,Complete,Delivered,67,"aarju
",1542553650,hj@gmail.com,"High Street, Lavenham, SUDBURY, Suffolk",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,C02,7,Appliance,Washing machine,59999,FLAT50,50,,,59999
#45745,1068,Online,Complete,Delivered,68,vatsal,1542873420,jk@gmail.com,"The Bakers Arms, The Street, Harkstead, IPSWICH",Surat,Gujarat,India,I,7254637910,love@gmail.com,D01,8,Mobile,Samsung,65000,FLAT50,50,WOMAN23,3250,61750
#45746,1069,Cash,Pending,Delivered,69,akash,1543180950,kl@gmail.com,"Three Horseshoes, Stows Hill, Cockfield, BURY ST EDMUNDS",Vadodara,Gujarat,India,A,8630947540,shiv@gmail.com,C01,6,Appliance,Air conditioner,45000,,0,,,45000
#45747,1070,Online,Complete,Delivered,70,Amitabh,1542867300,zx@gmail.com,"90 High Street, Hadleigh, IPSWICH, Suffolk",Surat,Gujarat,India,I,7254637910,love@gmail.com,B01,4,Fashion,Men's wear,3654,FLAT50,50,,,3654
#45748,1071,Online,Complete,Delivered,71,Upesh,1542824460,xc@gmail.com,"Kings Head, Manningtree Road, Stutton, IPSWICH",Rajkot,Gujarat,India,D,7722446688,raj@gmail.com,D01,8,Mobile,Samsung,50000,FLAT50,50,,,50000
#45749,1072,Online,Complete,Delivered,72,Akshay,1542847410,cv@gmail.com,"Honey Tye, Leavenheath, COLCHESTER, Essex",Ahmedabad,Gujarat,India,A,8630947540,shiv@gmail.com,A02,2,Electronic,SmartWatch,2222,FLAT50,50,,,2222
#45750,1073,Online,Complete,Delivered,73,Om,1543185540,vb@gmail.com,"Station Road, Long Melford, SUDBURY, Suffolk",Surat,Gujarat,India,J,9264380962,sid@gmail.com,D03,10,Mobile,Nokia,30255,FLAT50,50,WOMAN23,1512.75,28742.25
#45751,1074,Online,Complete,Delivered,74,Dipam,1542865770,bn@gmail.com,"37 The Street, Chelsworth, IPSWICH, Suffolk",Vadodara,Gujarat,India,D,7722446688,raj@gmail.com,A01,1,Electronic,Camera,83599,FLAT30,30,,,83599
#45752,1075,Online,Complete,Delivered,75,Jaydip,1542816810,nm@gmail.com,"High Street, Bildeston, IPSWICH, Suffolk",Ahmedabad,Gujarat,India,B,7653908726,ravi@gmail.com,C02,7,Appliance,Washing machine,23000,FLAT50,50,,,23000
#45753,1076,Online,Complete,Delivered,76,Suhan,1542865770,aq@gmail.com,"The Street, East Bergholt, COLCHESTER, Essex",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,B02,5,Fashion,Women's wear,2200,FLAT50,50,,,2200
#45754,1077,Online,Complete,Delivered,77,Drish,1542783150,sw@gmail.com,"The Street, Shotley, IPSWICH, Suffolk",Surat,Gujarat,India,A,8630947540,shiv@gmail.com,B02,5,Fashion,Women's wear,2366,FLAT50,50,MARKSNTI14,118.3,2247.7
#45755,1078,Online,Complete,Delivered,78,Dev,1543102920,de@gmail.com,"Cordell Road, Long Melford, SUDBURY, Suffolk",Surendranagar,Gujarat,India,J,9264380962,sid@gmail.com,D02,9,Mobile,Apple,89000,FLAT50,50,,,89000
#45756,1079,Cash,Pending,Delivered,79,prayag,1543188600,fr@gmail.com,"George Street, Hadleigh, IPSWICH, Suffolk",Ahmedabad,Gujarat,India,D,7722446688,raj@gmail.com,B01,4,Fashion,Men's wear,566,FLAT50,50,FREEDOM37,28.3,537.7
#45757,1080,Online,Complete,Delivered,80,Nency,1543145760,gt@gmail.com,"Sudbury Road, Newton, SUDBURY, Suffolk",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,D03,10,Mobile,Nokia,122222,FLAT50,50,,,122222
#45758,1081,Online,Complete,Delivered,81,savita,1542813750,hy@gmail.com,"East Street, SUDBURY, Suffolk",Surat,Gujarat,India,J,9264380962,sid@gmail.com,C02,7,Appliance,Washing machine,98555,FLAT50,50,,,98555
#45759,1082,Online,Complete,Shipped,82,zoya,1542708180,ju@gmail.com,"The Street, Preston St Mary, SUDBURY, Suffolk",Vadodara,Gujarat,India,A,8630947540,shiv@gmail.com,D02,9,Mobile,Apple,100000,FLAT50,50,DIWALI10,5000,95000
#45760,1083,Online,Complete,Delivered,83,megha,1543026420,ki@gmail.com,"Hall Street, Long Melford, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,C02,7,Appliance,Washing machine,40000,FLAT50,50,,,40000
#45761,1084,Online,Complete,Delivered,84,palak,1543190130,lo@gmail.com,"Swan Inn, The Street, Holbrook, IPSWICH",Rajkot,Gujarat,India,C,8902536748,jay@gmail.com,D03,10,Mobile,Nokia,65000,,0,,,65000
#45762,1085,Online,Complete,Delivered,85,Ruchita,1543020300,za@gmail.com,"The Street, Lawshall, BURY ST EDMUNDS, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,C01,6,Appliance,Air conditioner,80000,FLAT10,10,CHILD2344,4000,76000
#45763,1086,Online,Complete,Delivered,86,kruti,1542558240,xs@gmail.com,"The Swan, The Street, Little Waldingfield, SUDBURY",Surendranagar,Gujarat,India,A,8630947540,shiv@gmail.com,D03,10,Mobile,Nokia,54000,FLAT50,50,,,54000
#45764,1087,Online,Complete,Delivered,87,vidhi,1543011120,cd@gmail.com,"Lavenham Road, The Heath, Great Waldingfield, SUDBURY, Suffolk",Surat,Gujarat,India,E,7227455460,deep@gmail.com,B01,4,Fashion,Men's wear,1235,FLAT50,50,,,1235
#45765,1088,Online,Complete,Delivered,88,chintan,1543079970,vf@gmail.com,"London Road, Capel St Mary, IPSWICH, Suffolk",Ahmedabad,Gujarat,India,J,9264380962,sid@gmail.com,D02,9,Mobile,Apple,89000,FLAT50,50,FREEDOM37,4450,84550
#45766,1089,Online,Complete,Delivered,89,manan,1542862710,bg@gmail.com,"White Horse Inn, Mill Green, Edwardstone, SUDBURY",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,D02,9,Mobile,Apple,89000,FLAT50,50,,,89000
#45767,1090,Online,Complete,Delivered,90,milan,1542884130,nh@gmail.com,"Wild Man Inn, Bramford Road, Sproughton, IPSWICH",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,D01,8,Mobile,Samsung,78000,FLAT50,50,,,78000
#45768,1091,Cash,Pending,Shipped,91,raj,1542559770,mj@gmail.com,"Church Square, Bures St Mary, BURES, Suffolk",Surat,Gujarat,India,B,7653908726,ravi@gmail.com,C01,6,Appliance,Air conditioner,311111,FLAT50,50,WOMAN23,15555.55,295555.45
#45769,1092,Online,Complete,Delivered,92,shrut,1542862710,zq@gmail.com,"White Horse Road, East Bergholt, COLCHESTER, Essex",Vadodara,Gujarat,India,E,7227455460,deep@gmail.com,D03,10,Mobile,Nokia,55000,FLAT50,50,,,55000
#45770,1093,Online,Complete,Delivered,93,Guru,1543001940,xw@gmail.com,"Church Walk, SUDBURY, Suffolk",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,C01,6,Appliance,Air conditioner,89000,FLAT30,30,,,89000
#45771,1094,Online,Complete,Delivered,94,Loki,1542714300,ce@gmail.com,"Church Road, Tattingstone, IPSWICH, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,C01,6,Appliance,Air conditioner,210000,FLAT50,50,,,210000
#45772,1095,Online,Complete,Delivered,95,Thor,1543027950,vr@gmail.com,"Whatfield Road, Nedging with Naughton, IPSWICH, Suffolk",Vadodara,Gujarat,India,J,9264380962,sid@gmail.com,B01,4,Fashion,Men's wear,6587,FLAT50,50,WOMAN23,329.35,6257.65
#45773,1096,Online,Complete,Delivered,96,Shine,1543008060,bt@gmail.com,"North Street, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,A,8630947540,shiv@gmail.com,B02,5,Fashion,Women's wear,963,FLAT50,50,,,963
#45774,1097,Online,Complete,Delivered,97,Doni,1543158000,ny@gmail.com,"Vitro Bars Ltd, 2 Western Road, Billericay, Essex",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,D02,9,Mobile,Apple,150000,FLAT50,50,WOMAN23,7500,142500
#45775,1098,Online,Complete,Delivered,98,Rayan,1543187070,mu@gmail.com,"Barleylands Road, Basildon, Essex",Ahmedabad,Gujarat,India,B,7653908726,ravi@gmail.com,C01,6,Appliance,Air conditioner,70000,FLAT50,50,,,70000
#45776,1099,Online,Complete,Delivered,99,Ayan,1542856590,aw@gmail.com,"The Clubhouse,Mopsies Park, Timberlog Close, Basildon, Essex",Surat,Gujarat,India,E,7227455460,deep@gmail.com,D01,8,Mobile,Samsung,56000,FLAT50,50,,,56000
#45777,1100,Online,Complete,Delivered,100,Mohin,1543092210,ae@gmail.com,"Gardiners Close, Basildon, Essex",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,B01,4,Fashion,Men's wear,966,,0,,,966
#45778,1101,Online,Complete,Cancel,101,Siddhu,1543027950,ar@gmail.com,"5 High Pavement, Basildon, Essex",Surendranagar,Gujarat,India,A,8630947540,shiv@gmail.com,C01,6,Appliance,Air conditioner,54444,FLAT50,50,ASDD456,2722.2,51721.8
#45779,1102,Online,Complete,Delivered,102,Shivam,1542400650,at@gmail.com,"Gardiners Way, Basildon, Essex",Ahmedabad,Gujarat,India,J,9264380962,sid@gmail.com,D03,10,Mobile,Nokia,311111,FLAT10,10,,,311111
#45780,1103,Online,Complete,Delivered,103,Laboon,1543196250,ay@gmail.com,"Gardiners Close, Basildon, Essex",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,B01,4,Fashion,Men's wear,999,FLAT50,50,,,999
#45781,1104,Cash,Pending,Delivered,104,Luffy,1543231440,au@gmail.com,"Southernhay, Basildon, Essex",,Gujarat,India,I,7254637910,love@gmail.com,C01,6,Appliance,Air conditioner,65400,FLAT50,50,FREEDOM37,3270,62130
#45782,1105,Online,Complete,Delivered,105,Zoro,1542712770,ai@gmail.com,"77 Pound Lane, Bowers Gifford, Pitsea,Essex.",Surat,Gujarat,India,I,7254637910,love@gmail.com,B02,5,Fashion,Women's wear,989,FLAT50,50,,,989
